Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate
Afghanistan,2019,35739709,2.36,54.8,4.92,52.5,162.8
Albania,2019,3072944,0.27,112.2,1.52,78.9,13.4
Algeria,2019,43163934,1.89,18.1,3.1,78.1,23
American Samoa,2019,48456,-2.17,244.7,2.47,74.3,13.7
Andorra,2019,85782,-0.05,183.3,1.42,83,4.3
Angola,2019,31427180,3.45,25.2,6.03,60.9,99.2
Anguilla,2019,17730,1.9,194.8,1.73,81.7,4.7
Antigua and Barbuda,2019,96852,1.2,218.6,1.98,77,18.7
Argentina,2019,45089449,0.87,16.5,2.23,77.6,11.7
Armenia,2019,3030310,-0.27,107.4,1.64,75.4,14.8
Aruba,2019,118056,1.23,655.9,1.83,77.3,15.1
Australia,2019,25113987,1.43,3.3,1.74,82.7,3.8
Austria,2019,8825644,0.37,107,1.49,81.8,4
Azerbaijan,2019,10397396,0.8,125.8,1.83,75.9,12.3
"Bahamas, The",2019,390496,1.08,39,1.43,75.7,13.3
Bahrain,2019,1473724,2.11,"1,939.10",1.71,79.3,12.9
Bangladesh,2019,160947649,0.99,"1,236.40",2.13,73.9,40.4
Barbados,2019,300082,0.32,697.9,1.7,77.9,12.9
Belarus,2019,9657105,-0.15,47.6,1.43,74.7,3.2
Belgium,2019,11635321,0.64,384.3,1.78,81.3,4.1
Belize,2019,386709,1.39,17,2.22,74.9,13.6
Benin,2019,12432985,3.39,112.4,5.56,61,92.1
Bermuda,2019,71537,0.4,"1,324.80",1.92,81.5,3
Bhutan,2019,842110,1.05,21.9,1.84,71.6,36.8
Bolivia,2019,11620835,1.42,10.7,2.54,73.6,27.6
Bosnia and Herzegovina,2019,3840279,-0.19,75,1.32,77.3,6.3
Botswana,2019,2282973,1.49,4,2.49,64.3,35.8
Brazil,2019,213349354,0.78,25.5,1.77,75.9,16.9
Brunei,2019,457173,1.53,86.8,1.76,77.7,12.9
Bulgaria,2019,7011475,-0.65,64.6,1.48,74.9,9.8
Burkina Faso,2019,20286336,2.69,74.1,4.64,62.3,89.3
Burma,2019,55426484,0.98,84.8,2.1,69,44.3
Burundi,2019,11519643,2.71,448.6,5.24,66.4,59.6
Cabo Verde,2019,574799,1.29,142.5,2.19,72.9,30.9
Cambodia,2019,16129716,1.36,91.4,2.42,70.3,40.7
Cameroon,2019,26983060,2.78,57.1,4.69,61.7,80.3
Canada,2019,37350365,0.81,4.1,1.56,83.4,5.2
Cayman Islands,2019,60770,1.95,230.2,1.84,81.5,9.5
