"","Location","Period","clean_cases","clean_deaths","Total Population","Growth Rate","Population Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","Algeria",2020,0,0,"43956864","1.76","18.5","3.06","75.4","22.4"
"2","Algeria",2019,0,0,"43163934","1.89","18.1","3.1","78.1","23"
"3","Angola",2020,8410016,14853,"32521837","3.4","26.1","5.96","61.3","96.1"
"4","Angola",2019,7352473,13897,"31427180","3.45","25.2","6.03","60.9","99.2"
"5","Benin",2020,4781051,10585,"12861152","3.38","116.3","5.51","61.4","89.6"
"6","Benin",2019,4937253,10454,"12432985","3.39","112.4","5.56","61","92.1"
"7","Botswana",2020,1776,4,"2316910","1.46","4.1","2.45","64.8","34.5"
"8","Botswana",2019,259,0,"2282973","1.49","4","2.49","64.3","35.8"
"9","Burkina Faso",2020,8122685,21402,"20833136","2.63","76.1","4.51","62.7","86.7"
"10","Burkina Faso",2019,7472680,19228,"20286336","2.69","74.1","4.64","62.3","89.3"
"11","Burundi",2020,3708079,5792,"11845890","2.87","461.3","5.17","66.7","57.6"
"12","Burundi",2019,3549058,5315,"11519643","2.71","448.6","5.24","66.4","59.6"
"13","Cabo Verde",2020,0,0,"582153","1.26","144.3","2.16","73.2","30.2"
"14","Cabo Verde",2019,0,0,"574799","1.29","142.5","2.19","72.9","30.9"
"15","Cameroon",2020,6601170,14505,"27743599","2.78","58.7","4.66","62.3","77.9"
"16","Cameroon",2019,6246049,12792,"26983060","2.78","57.1","4.69","61.7","80.3"
"17","Central African Republic",2020,1795225,5130,"5262642","1.8","8.4","4.14","54.6","128.7"
"18","Central African Republic",2019,1681948,5096,"5168685","1.8","8.3","4.19","54","131.1"
"19","Chad",2020,3433441,12190,"16875954","3.16","13.4","5.68","58.3","114.5"
"20","Chad",2019,3277966,11621,"16348657","3.19","13","5.79","57.9","117.6"
"25","Equatorial Guinea",2020,352514,766,"1561062","3.81","55.7","4.41","63.5","107.8"
"26","Equatorial Guinea",2019,347501,726,"1501535","3.97","53.5","4.48","63.4","108.5"
"27","Eritrea",2020,158684,372,"6088682","0.94","60.3","3.73","66.2","62.5"
"28","Eritrea",2019,200382,437,"6032338","0.92","59.7","3.82","65.9","63.9"
"31","Ethiopia",2020,4227742,9424,"107882961","2.43","98.4","4.14","64.7","57.7"
